lineup,minutes,points_scored,2_pointers_made,3_pointers_made,free_throws_made,assists,rebounds,blocks,steals,turnovers,fouls,points_allowed
1627750_201163_203486_203914_203999,191.57,413.0,125,37,52,101,429,22,27,146,61,410.0
1627750_203115_203486_203914_203999,107.6,254.0,75,21,41,63,230,7,20,66,50,222.0
1627751_1627854_1628401_200746_201942,186.7,371.0,137,21,34,96,431,21,29,121,61,386.0
1627751_200752_201158_201988_202722,118.47,297.0,75,36,39,61,329,14,11,121,36,248.0
1627751_201158_201942_201988_202722,106.68,262.0,59,32,48,57,249,7,13,76,43,257.0
1627752_1628381_1628989_1629027_203473,323.88,802.0,201,102,94,181,739,28,58,258,143,828.0
1627752_1628381_203145_203471_203473,117.7,274.0,75,31,31,67,254,16,32,109,39,254.0
1627752_1629027_1713_203145_203458,102.4,219.0,49,32,25,48,254,15,17,87,49,266.0
1627758_1628373_201563_203124_203926,120.53,272.0,86,19,43,58,286,16,18,100,63,262.0
1627759_1628369_201143_202330_202681,149.53,307.0,91,34,23,75,367,15,28,112,56,310.0
1627759_1628369_201143_202681_202694,235.33,530.0,145,60,60,120,526,23,29,151,84,558.0
1627759_1628369_201143_202681_203382,378.95,836.0,251,87,73,193,839,54,50,289,140,747.0
1627759_1628369_201143_202681_203935,208.9,501.0,132,47,96,111,502,16,38,147,112,464.0
1627759_201143_202681_202694_203935,137.0,334.0,78,48,34,86,329,12,29,93,53,284.0
1627761_1628381_1628989_1629027_203473,137.45,339.0,87,41,42,82,310,11,23,120,65,337.0
1627763_201572_202339_203114_203507,597.35,1495.0,413,155,204,337,1445,81,106,465,209,1400.0
1627763_202339_203089_203114_203507,227.93,525.0,162,31,108,102,491,22,45,170,94,463.0
1627763_203089_203114_203503_203507,145.88,338.0,105,26,50,73,296,23,18,115,71,317.0
1627763_203089_203503_203507_203953,183.5,383.0,119,30,55,92,416,31,26,122,66,391.0
1627774_202329_203081_203468_203994,369.12,896.0,243,98,116,207,826,43,59,270,147,816.0
1627775_201939_202691_203110_2585,175.48,428.0,103,61,39,129,399,14,37,152,67,377.0
